drugbank_id	mesh_id
DB00245	D020821,D004421
DB00245	D011595
DB00245	D018476
DB00245	D014202
DB00245	D020820
DB00245	D009422
DB00245	D010300
DB00245	D001264
DB00246	D012559
DB00247	D014653
DB00248	D015175
DB00248	D015175
DB00248	D020734
DB00249	D007637
DB00249	D007634
DB00249	D020803
DB00250	D007918
DB00250	D003874
DB00251	C536777,D002177
DB00251	D009181
DB00252	D004830
DB00252	D013226
DB00253	D003233
DB00253	D003233
DB00253	D015423
DB00254	D012373
DB00254	D014438
DB00254	D014438
DB00254	D011778
DB00254	D012288
DB00254	D000712
DB00254	D012141
DB00254	D009956
DB00254	D009956
DB00254	D014141
DB00254	D003231
DB00254	D007239
DB00254	D014526
DB00254	D005334
DB00254	D013203
DB00254	D013290
DB00255	D011471
DB00255	D000022
DB00255	D047928
DB00256	D000152
DB00256	D012141
DB00256	D014552
DB00256	D001991
DB00256	D002690
DB00256	D012282
DB00257	D007239
DB00257	C536777,D002177
DB00257	D003963
DB00257	D007938
DB00258	D054559
DB00258	D007674
DB00259	D014848
DB00260	D014376
DB00260	D014376
DB00261	D013922
DB00261	D009369
DB00261	D013927
DB00261	D013922
DB00261	D064420
DB00262	D001932
DB00262	D009101
DB00262	D006689
DB00262	D008228
DB00263	D014552
DB00263	D008585
DB00263	D014141
DB00263	D003235
DB00263	D009617
DB00263	D002602
DB00263	D014123
DB00263	D008288
DB00263	D001424
DB00264	D006333
DB00264	D009203
DB00264	D001281
DB00264	D001282
DB00264	D006973
DB00264	D013958
DB00264	D002318
DB00264	D009765
DB00265	D012532
DB00265	D054705
DB00266	D020246
DB00267	D007239
DB00268	D010300
DB00268	D012148
DB00269	D007246
DB00269	D011471
DB00270	D000075222
DB00273	D012640
DB00273	D004830
DB00273	C535500
DB00273	D008881
DB00273	D019964
DB00275	D006973
DB00275	D009081
DB00275	D006333
DB00275	D009203
DB00275	D020521
DB00275	D003928
DB00276	D015470
DB00277	D029424
DB00277	D004646
DB00278	D013927
DB00279	D007037
DB00279	D013964
DB00279	D006980
DB00279	D014832
DB00279	D003248
DB00279	D053609
DB00279	D018248
DB00279	D013968
DB00280	D001145
DB00282	D010001
DB00282	D001943
DB00282	D030981
DB00282	D009101
DB00283	D012912
DB00283	D002559
DB00283	D011537
DB00283	D012877
DB00283	D000799
DB00284	D003924
DB00285	D003865
DB00285	D010698
DB00285	D010698
DB00285	D016584
DB00285	D000379
DB00285	D008881
DB00285	D009437
DB00285	D009771
DB00285	D009771
DB00286	D003027
DB00286	D007006
DB00286	D001943
DB00286	D011471
DB00286	D015663
DB00287	D005902
DB00287	D009798
DB00287	D006973
DB00287	D005901
DB00288	D012871
DB00289	D001289
DB00290	D009369
DB00290	D002294
DB00290	D008223
DB00291	D015451
DB00291	D009404
DB00291	D008223
DB00291	D008228
DB00291	D008224
DB00291	D006689
DB00291	D008228
DB00291	D008258
DB00295	D010146
DB00295	D019966
DB00298	D015878
DB00299	D006560
DB00300	D015658
DB00300	D019694
DB00301	D001424
DB00302	D006467
DB00302	D006470
DB00302	D008599
DB00302	D014947
DB00303	D059413
DB00303	D013207
DB00303	D017719
DB00303	D010019
DB00303	D016470
DB00303	D014552
DB00303	D011704
DB00303	D034161
DB00303	D011644
DB00303	D004716
DB00303	D000031
DB00303	D013530
DB00305	D008048
DB00307	D012877
DB00307	D016410
DB00307	D016410
DB00308	D001281
DB00308	D001282
DB00309	D008223
DB00309	D006689
DB00310	D006973
DB00310	D004487
DB00310	D006333
DB00310	D005355
DB00310	D005198
DB00310	D009404
DB00310	D007676
DB00311	D004381
DB00311	D005901
DB00311	D004827
DB00312	D007319
DB00313	D008881
DB00313	D001714
DB00313	D001714
DB00313	D001714
DB00313	D013226
DB00314	D014376
DB00315	D008881
DB00315	D004827
DB00316	D005334
DB00316	D010146
DB00316	D006967
DB00316	D003233
DB00316	D001994
DB00317	D002289
DB00318	D003371
DB00319	D060085
DB00320	D008881
DB00320	D004827
DB00320	D003027
DB00321	D009497,D003866
DB00321	D009437
DB00321	D018781
DB00321	D008881
DB00321	D053206
DB00321	D016135
DB00321	D004775
DB00321	D043183
DB00321	D012893
DB00321	D003929
DB00321	D011595
DB00321	D005356
DB00321	D007319
DB00322	D008113
DB00323	D010300
DB00323	D020734
DB00325	D006333
DB00326	D006996
DB00326	D013746
DB00326	D007011
DB00326	D014808
DB00326	D000471
DB00327	D010146
DB00328	D001172
DB00328	D013167
DB00328	D010003
DB00328	D000208
DB00328	D020069
DB00328	D002062
DB00328	D052256
DB00330	D014397
DB00331	D003924
DB00332	D001249
DB00332	D002559
DB00332	D006255
DB00332	D001986
DB00332	D029424
DB00332	D004646
DB00332	D012798
DB00333	D009293
DB00334	D012559
DB00334	D001523
DB00334	D015663
DB00334	D011595
DB00334	D001927
DB00334	D006212
DB00334	D001714
DB00334	D001523
DB00334	D001714
DB00335	D006973
DB00335	D000787
DB00335	D003324
DB00335	D009203
DB00335	D001281
DB00335	D019571
DB00335	D006111,D013971
DB00335	D008881
DB00336	D013207
DB00336	D011711
DB00336	D012871
DB00336	D007239
DB00337	D003876
DB00338	D004381
DB00338	D013276
DB00338	D005764
DB00338	D005764
DB00338	C535737
DB00338	D005764
DB00338	D012734
DB00339	D014376
DB00340	D020734
DB00341	D012912
DB00341	D002559
DB00341	D011537
DB00341	D011537
DB00341	D001248
DB00341	D012220
DB00341	D000080223
DB00342	D006255
DB00342	D012871
DB00343	D006973
DB00343	D060050
DB00343	D000788
DB00343	D000788
DB00343	D001281
DB00343	D001282
DB00343	D013611
DB00343	D013610
DB00343	D014927
DB00343	D008151
DB00343	D005401
DB00343	D008881
DB00343	D020922
DB00343	D006976
DB00343	C580047
DB00343	D011507
DB00343	D003928
DB00346	D011470
DB00347	D004832
DB00348	D020176
DB00349	D004827
DB00349	D012640
DB00349	C535500
DB00350	D006973
DB00350	D000505
DB00350	D000505
DB00351	D000856,D000855
DB00351	D002100
DB00351	D000163
DB00351	D000163
DB00351	D016889
DB00351	D011471
DB00352	D015470
DB00354	D009325
DB00354	D014839
DB00354	D004244
DB00354	D009041
DB00354	D014717
DB00355	D014552
DB00355	D018805
DB00355	D007239
DB00355	D059413
DB00355	D007239
DB00356	D009140
DB00357	D003480
DB00357	D001943
DB00358	D008288
DB00359	D012213
DB00359	D008585
DB00360	D010661
DB00361	D002289
DB00361	D002289
DB00361	D006689
DB00361	D018222
DB00361	D005350
DB00361	D010051
DB00362	D009181
DB00362	D058387
DB00362	D018784
DB00362	D010532,D010538
DB00362	D007239
DB00362	D009959
DB00363	D012559
DB00364	D004381
DB00364	D004381
DB00364	D005764
DB00364	D005764
DB00364	D005756
DB00364	D010437
DB00364	D004381
DB00364	D004415
DB00366	D048968
DB00367	D010024
DB00367	D008595
DB00367	D004714
DB00367	D004715
DB00368	D012772
DB00369	D017726
DB00369	D000163
DB00369	D000163
DB00370	D009497,D003866
DB00370	D016584
DB00370	D019263
DB00370	D018781
DB00370	D019584
DB00370	D013313
DB00370	D013313
DB00370	D012893
DB00370	D019966
DB00370	D020018
DB00371	D001008
DB00372	D009325
DB00373	D009798
DB00373	D005902
DB00373	D008881
DB00374	C536282,D000081029
DB00374	D008312
DB00375	D006937
DB00375	D050197
DB00375	D003327
DB00375	D006938
DB00375	D015228
DB00376	D010300
DB00376	D007955
DB00377	D009325
DB00377	D009325
DB00377	D014839
DB00377	D002277
DB00378	D001361
DB00379	D018879
DB00379	D014693
DB00381	D006973
DB00381	D003324
DB00381	D006333
DB00382	D003704
DB00383	D010437
DB00383	D013035
DB00383	D005767
DB00384	D004487
DB00384	D006333
DB00384	D005355
DB00384	D009404
DB00384	D006929
DB00384	D006973
DB00384	D007008
DB00385	D001749
DB00387	D010300
DB00387	D001480
DB00388	D007022
DB00388	D006484
DB00388	D011317
DB00389	D006980
DB00389	D006111,D013971
DB00390	D006333
DB00390	D001281
DB00391	D012559
DB00392	D010300
DB00393	D013345
DB00393	D013345
DB00393	D017542
DB00394	D001249
DB00394	D001986
DB00394	D012221
DB00394	D009298
DB00394	D005132
DB00394	D012871
DB00394	D011565
DB00394	D003877
DB00394	D003872
DB00394	D003876
DB00394	D003876
DB00394	D003876
DB00394	D009450
DB00394	D009450
DB00394	D008010
DB00394	D004485
DB00394	D004485
DB00394	D007402
DB00394	D011146
DB00394	D011146
DB00394	D012628
DB00394	D003873
DB00395	D009140
DB00396	D004714
DB00396	D001361
DB00396	D000568
DB00396	D014592
DB00396	D004700
DB00396	D007889
DB00396	D002277
DB00397	D014549
DB00397	D011317
DB00397	D009765
DB00398	D006528
DB00398	D002292
DB00399	D009101
DB00399	D010024
DB00399	D010001
DB00400	D014005
DB00401	D006973
DB00402	D007319
DB00403	D007418
DB00404	D001008
DB00404	D016584
DB00404	D000379
DB00404	D007319
DB00404	D011293
DB00405	D006967
DB00405	D006255
DB00406	D009181
DB00406	D014355
DB00407	D020246
DB00407	D011655
DB00408	D011618
DB00408	D012559
DB00409	D012559
DB00410	D007169
DB00410	D012874
DB00411	D005901
DB00412	D003924
DB00413	D010300
DB00413	D012148
DB00413	D012148
DB00414	D003924
DB00415	D014552
DB00415	D008581
DB00417	D012141
DB00417	D012541
DB00417	D004886
DB00417	D016470
DB00417	D012141
DB00417	D007239
DB00417	D005892
DB00417	D005892
DB00417	D010612
DB00417	D004697
DB00417	D006349
DB00418	D007319
DB00419	D005776
DB00419	D006967
DB00419	D006967
DB00419	D052556
DB00420	D011595
DB00420	D011595
DB00420	D011595
DB00421	D004487
DB00421	D006929
DB00421	D018246
DB00421	D006973
DB00421	D009404
DB00421	C536013,D006628
DB00421	D000152
DB00422	D001289
DB00422	D009290
DB00423	D012734
DB00423	D013035
DB00424	D010437
DB00424	D004238
DB00424	D003085
DB00424	D043183
DB00424	D003556
DB00424	D010195
DB00424	D006331
DB00424	D010300
DB00424	D012220
DB00425	D007319
DB00426	D006562
DB00426	D006558
DB00426	D006561
DB00427	D006255
DB00427	D003233
DB00427	D012877
DB00427	D014581
DB00427	D000799
DB00428	D010190
DB00429	D006473
DB00429	D014593
DB00432	D007637
DB00432	D009362
DB00433	D009325
DB00433	D011618
DB00433	D012559
DB00433	D006261
DB00433	D003027
DB00434	D012221
DB00434	D012223
DB00434	D003233
DB00434	D012877
DB00434	D014581
DB00434	D000799
DB00434	D006967
DB00434	D000707
DB00435	D012131
DB00436	D004487
DB00436	D006333
DB00437	C563162,D006073
DB00437	D014394
DB00437	D007938
DB00437	D008223
DB00437	D002277
DB00437	D007669
DB00438	D013207
DB00438	D014552
DB00438	D007239
DB00438	D059413
DB00438	D010532,D010538
DB00438	D002494
DB00438	D008581
DB00439	D006937
DB00439	D050171
DB00440	D014552
DB00440	D003424,D004751
DB00440	D011020
DB00440	D003234
DB00440	D001762
DB00441	D010051
DB00441	D002289
DB00442	D019694
DB00443	D007249
DB00443	D011536
DB00443	D004700
DB00443	D005767
DB00444	D054198
DB00445	D001943
DB00446	D002771
DB00446	C565627,D003967
DB00446	D003234
DB00447	D012141
