drugbank_id	category	entrez_gene_id	source	target	edges
DB01992	target	1024109	Compound::DB01992	Gene::1024109	DRUGBANK::target::Compound:Gene
DB01992	target	1077654	Compound::DB01992	Gene::1077654	DRUGBANK::target::Compound:Gene
DB01992	target	10524	Compound::DB01992	Gene::10524	DRUGBANK::target::Compound:Gene
DB01992	target	1253129	Compound::DB01992	Gene::1253129	DRUGBANK::target::Compound:Gene
DB01992	target	938642	Compound::DB01992	Gene::938642	DRUGBANK::target::Compound:Gene
DB01992	target	1204387	Compound::DB01992	Gene::1204387	DRUGBANK::target::Compound:Gene
DB01992	target	949716	Compound::DB01992	Gene::949716	DRUGBANK::target::Compound:Gene
DB01992	target	885251	Compound::DB01992	Gene::885251	DRUGBANK::target::Compound:Gene
DB01992	target	2648	Compound::DB01992	Gene::2648	DRUGBANK::target::Compound:Gene
DB01992	target	8850	Compound::DB01992	Gene::8850	DRUGBANK::target::Compound:Gene
DB01992	target	887529	Compound::DB01992	Gene::887529	DRUGBANK::target::Compound:Gene
DB01992	target	882433	Compound::DB01992	Gene::882433	DRUGBANK::target::Compound:Gene
DB01992	target	949654	Compound::DB01992	Gene::949654	DRUGBANK::target::Compound:Gene
DB01992	target	12933149	Compound::DB01992	Gene::12933149	DRUGBANK::target::Compound:Gene
DB01992	target	948246	Compound::DB01992	Gene::948246	DRUGBANK::target::Compound:Gene
DB01996	target	4314	Compound::DB01996	Gene::4314	DRUGBANK::target::Compound:Gene
DB01996	target	4322	Compound::DB01996	Gene::4322	DRUGBANK::target::Compound:Gene
DB01997	target	4846	Compound::DB01997	Gene::4846	DRUGBANK::target::Compound:Gene
DB01997	target	4843	Compound::DB01997	Gene::4843	DRUGBANK::target::Compound:Gene
DB01997	target	4842	Compound::DB01997	Gene::4842	DRUGBANK::target::Compound:Gene
DB01998	target	5265	Compound::DB01998	Gene::5265	DRUGBANK::target::Compound:Gene
DB02001	target	200895	Compound::DB02001	Gene::200895	DRUGBANK::target::Compound:Gene
DB02004	target	1803	Compound::DB02004	Gene::1803	DRUGBANK::target::Compound:Gene
DB02005	target	1218749	Compound::DB02005	Gene::1218749	DRUGBANK::target::Compound:Gene
DB02007	target	5837	Compound::DB02007	Gene::5837	DRUGBANK::target::Compound:Gene
DB02007	target	231	Compound::DB02007	Gene::231	DRUGBANK::target::Compound:Gene
DB02007	target	12930479	Compound::DB02007	Gene::12930479	DRUGBANK::target::Compound:Gene
DB02007	target	946405	Compound::DB02007	Gene::946405	DRUGBANK::target::Compound:Gene
DB02007	target	3098	Compound::DB02007	Gene::3098	DRUGBANK::target::Compound:Gene
DB02007	target	936161	Compound::DB02007	Gene::936161	DRUGBANK::target::Compound:Gene
DB02007	target	12933142	Compound::DB02007	Gene::12933142	DRUGBANK::target::Compound:Gene
DB02007	target	948241	Compound::DB02007	Gene::948241	DRUGBANK::target::Compound:Gene
DB02007	target	898202	Compound::DB02007	Gene::898202	DRUGBANK::target::Compound:Gene
DB02007	target	2821	Compound::DB02007	Gene::2821	DRUGBANK::target::Compound:Gene
DB02008	target	5105	Compound::DB02008	Gene::5105	DRUGBANK::target::Compound:Gene
DB02010	transporter	5243	Compound::DB02010	Gene::5243	DRUGBANK::transporter::Compound:Gene
DB02010	target	5292	Compound::DB02010	Gene::5292	DRUGBANK::target::Compound:Gene
DB02010	target	1128	Compound::DB02010	Gene::1128	DRUGBANK::target::Compound:Gene
DB02010	target	5170	Compound::DB02010	Gene::5170	DRUGBANK::target::Compound:Gene
DB02010	target	3932	Compound::DB02010	Gene::3932	DRUGBANK::target::Compound:Gene
DB02010	target	1445	Compound::DB02010	Gene::1445	DRUGBANK::target::Compound:Gene
DB02010	target	2932	Compound::DB02010	Gene::2932	DRUGBANK::target::Compound:Gene
DB02010	target	1017	Compound::DB02010	Gene::1017	DRUGBANK::target::Compound:Gene
DB02010	target	3702	Compound::DB02010	Gene::3702	DRUGBANK::target::Compound:Gene
DB02010	target	6850	Compound::DB02010	Gene::6850	DRUGBANK::target::Compound:Gene
DB02010	target	9261	Compound::DB02010	Gene::9261	DRUGBANK::target::Compound:Gene
DB02010	target	5294	Compound::DB02010	Gene::5294	DRUGBANK::target::Compound:Gene
